! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may07/256.ns.m2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/07/2018 03:01:49 PM	05/07/2018 02:58:54 PM
! INTERNAL TEMP:    	59.3 C	58.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.87°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.934 ohm, -2.876 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.240000E-01	  0.020000000	-1.258680E+02	  0.020000000	2.265000E+00	  0.020000000	-2.550600E+01
2	  0.020200402	-6.230000E-01	  0.020200402	-1.273420E+02	  0.020200402	2.232000E+00	  0.020200402	-2.470300E+01
3	  0.020400802	-6.230000E-01	  0.020400802	-1.288080E+02	  0.020400802	2.206000E+00	  0.020400802	-2.391300E+01
4	  0.020601204	-6.260000E-01	  0.020601204	-1.302700E+02	  0.020601204	2.188000E+00	  0.020601204	-2.313500E+01
5	  0.020801604	-6.310000E-01	  0.020801604	-1.317770E+02	  0.020801604	2.181000E+00	  0.020801604	-2.234200E+01
6	  0.021002004	-6.360000E-01	  0.021002004	-1.333020E+02	  0.021002004	2.172000E+00	  0.021002004	-2.154900E+01
7	  0.021202406	-6.440000E-01	  0.021202406	-1.348350E+02	  0.021202406	2.172000E+00	  0.021202406	-2.076100E+01
8	  0.021402806	-6.490000E-01	  0.021402806	-1.363790E+02	  0.021402806	2.168000E+00	  0.021402806	-1.997600E+01
9	  0.021603208	-6.540000E-01	  0.021603208	-1.379320E+02	  0.021603208	2.159000E+00	  0.021603208	-1.919500E+01
10	  0.021803608	-6.590000E-01	  0.021803608	-1.394800E+02	  0.021803608	2.155000E+00	  0.021803608	-1.842500E+01
11	  0.022004008	-6.650000E-01	  0.022004008	-1.410290E+02	  0.022004008	2.152000E+00	  0.022004008	-1.766200E+01
12	  0.022204408	-6.720000E-01	  0.022204408	-1.426140E+02	  0.022204408	2.155000E+00	  0.022204408	-1.688800E+01
13	  0.022404809	-6.790000E-01	  0.022404809	-1.441810E+02	  0.022404809	2.158000E+00	  0.022404809	-1.613100E+01
14	  0.022605211	-6.840000E-01	  0.022605211	-1.457880E+02	  0.022605211	2.156000E+00	  0.022605211	-1.536100E+01
15	  0.022805611	-6.880000E-01	  0.022805611	-1.473920E+02	  0.022805611	2.148000E+00	  0.022805611	-1.459900E+01
16	  0.023006011	-6.900000E-01	  0.023006011	-1.489990E+02	  0.023006011	2.138000E+00	  0.023006011	-1.384300E+01
