! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ew.n.r200.22.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 03:13:02 PM	12/19/2017 02:53:44 PM
! INTERNAL TEMP:    	46.8 C	46.3 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.561000E+00	  0.010000000	-1.139200E+01	  0.010000000	1.709210E+02	  0.010000000	-6.143000E+01
2	  0.010200000	-4.549000E+00	  0.010200000	-1.160100E+01	  0.010200000	1.704400E+02	  0.010200000	-6.253800E+01
3	  0.010400000	-4.547000E+00	  0.010400000	-1.185300E+01	  0.010400000	1.695630E+02	  0.010400000	-6.358300E+01
4	  0.010600000	-4.546000E+00	  0.010600000	-1.202400E+01	  0.010600000	1.689470E+02	  0.010600000	-6.426900E+01
5	  0.010800000	-4.548000E+00	  0.010800000	-1.231200E+01	  0.010800000	1.677970E+02	  0.010800000	-6.530700E+01
6	  0.011000001	-4.548000E+00	  0.011000001	-1.253200E+01	  0.011000001	1.669530E+02	  0.011000001	-6.611700E+01
7	  0.011200000	-4.552000E+00	  0.011200000	-1.280000E+01	  0.011200000	1.658130E+02	  0.011200000	-6.698300E+01
8	  0.011399999	-4.550000E+00	  0.011399999	-1.300600E+01	  0.011399999	1.650560E+02	  0.011399999	-6.775900E+01
9	  0.011600000	-4.551000E+00	  0.011600000	-1.326600E+01	  0.011600000	1.640120E+02	  0.011600000	-6.863700E+01
10	  0.011800000	-4.549000E+00	  0.011800000	-1.347900E+01	  0.011800000	1.632220E+02	  0.011800000	-6.942000E+01
11	  0.012000000	-4.547000E+00	  0.012000000	-1.373000E+01	  0.012000000	1.622750E+02	  0.012000000	-7.031700E+01
12	  0.012200000	-4.549000E+00	  0.012200000	-1.396800E+01	  0.012200000	1.612810E+02	  0.012200000	-7.103600E+01
13	  0.012400000	-4.548000E+00	  0.012400000	-1.419800E+01	  0.012400000	1.603870E+02	  0.012400000	-7.180400E+01
14	  0.012600001	-4.548000E+00	  0.012600001	-1.444400E+01	  0.012600001	1.593940E+02	  0.012600001	-7.257200E+01
15	  0.012800000	-4.547000E+00	  0.012800000	-1.467600E+01	  0.012800000	1.584600E+02	  0.012800000	-7.328400E+01
